group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
5_6-1,14b,0.0,3.65483,5.23811,n/a,n/a,n/a,10.31804
5_6-2,14b,n/a,n/a,3.16213,4.96297,2.75044,2.75044,5.01191
5_7-0,14b,0.0,3.17768,n/a,n/a,n/a,n/a,n/a
5_8-0,5e/5ho,0.0,n/a,n/a,n/a,n/a,n/a,n/a
5_8-1,1e/1ho,0.27319,1.34293,4.94542,n/a,n/a,n/a,n/a
5_8-2,1s3,n/a,n/a,n/a,n/a,n/a,n/a,5.15499
5_8-3,5ho/eo,n/a,n/a,9.44087,8.17833,n/a,n/a,3.99495
6_7-0,b25,0.0,2.43196,n/a,7.24626,n/a,n/a,n/a
6_8-0,1s5/1h2,n/a,n/a,n/a,n/a,n/a,n/a,2.48868
6_8-1,3s1/b14,n/a,n/a,n/a,n/a,n/a,n/a,8.97965
6_8-2,1h2/1e,0.28991,1.39941,3.27142,6.46194,4.92378,4.92378,n/a
6_8-3,3h2/3e,n/a,n/a,n/a,n/a,n/a,n/a,7.82441
6_8-4,1e/1ho,0.0,n/a,4.74739,n/a,n/a,n/a,n/a
6_8-5,1s5/14b,n/a,n/a,n/a,n/a,n/a,n/a,5.31626
6_8-6,1h2/e2,0.0,3.08921,n/a,10.81009,n/a,n/a,12.77858
6_8-7,e2/b25,n/a,n/a,n/a,n/a,n/a,n/a,4.88767
7_8-0,3h2/e2,0.22586,2.01039,4.53131,4.73344,4.06736,4.06736,n/a
7_8-1,b14/3s1,n/a,n/a,n/a,7.9085,n/a,n/a,n/a
7_8-2,e2/3h2,n/a,n/a,n/a,n/a,5.86344,4.17782,n/a
