group,pucker,REFERENCE,AM1,PM3,PM3MM,PM6
1_10-0,3ob,0.23281,n/a,4.63219,4.63282,n/a
1_11-0,5h4/5s1,0.1525,n/a,3.89529,3.89565,n/a
1_11-1,3h4/3e,0.0,n/a,6.9776,6.97823,n/a
1_11-2,5e,0.0,n/a,n/a,n/a,n/a
1_11-3,3h4/3s1,0.0,n/a,5.93367,5.93411,n/a
1_11-4,3e/3ob,0.0,n/a,n/a,n/a,n/a
1_12-0,os2/3h2,n/a,5.74484,n/a,n/a,n/a
1_12-1,3e/3h2,n/a,n/a,n/a,n/a,n/a
1_12-2,3e/3ob,n/a,4.8,n/a,n/a,n/a
1_4-0,25b,0.0,n/a,n/a,n/a,n/a
1_8-0,oe/3ob,n/a,n/a,n/a,n/a,8.00325
1_8-1,os2/b25,0.0,n/a,n/a,n/a,n/a
2_11-0,5s1/5e,0.1671,n/a,7.43582,7.43645,n/a
2_11-1,5h4/5e,n/a,n/a,5.44209,5.44164,n/a
2_11-2,5s1,n/a,n/a,n/a,n/a,7.90034
2_4-0,25b/5s1,0.2531,5.58551,n/a,n/a,n/a
2_4-1,25b,0.26421,3.18396,3.71325,3.71362,n/a
2_4-2,2so/25b,n/a,6.87248,n/a,n/a,n/a
2_5-0,5s1/25b,0.24844,n/a,n/a,n/a,n/a
3_11-0,5e,0.25652,10.57234,3.51728,3.51748,n/a
3_4-0,25b/2so,0.0,n/a,n/a,n/a,n/a
3_4-1,2so/25b,n/a,2.7328,n/a,n/a,n/a
4_11-0,bo3/1s3,n/a,n/a,n/a,n/a,4.57329
4_11-1,25b/2so,0.16956,n/a,5.74866,5.7491,n/a
4_11-2,1e,0.13372,n/a,7.73993,7.74037,n/a
4_11-3,5e/5h4,0.10276,5.43831,n/a,n/a,n/a
4_11-4,5ho,0.0,n/a,n/a,n/a,n/a
4_11-5,2so/bo3,n/a,n/a,n/a,n/a,3.62198
4_11-6,2so/5ho,n/a,n/a,n/a,n/a,5.06588
4_11-7,5e,0.0,7.53696,8.29329,8.29391,n/a
4_12-0,1e/1h2,0.0,n/a,n/a,n/a,n/a
4_12-1,5e,0.18447,6.95343,n/a,n/a,n/a
4_12-2,1ho,0.0,n/a,n/a,n/a,n/a
4_12-3,5ho/eo,n/a,10.192,n/a,n/a,6.12574
4_12-4,eo/1ho,n/a,8.32391,n/a,n/a,n/a
4_5-0,bo3/e3,0.0,n/a,3.79185,3.79248,n/a
4_5-1,14b/1s5,n/a,n/a,n/a,n/a,6.01216
4_5-2,5s1/25b,n/a,n/a,n/a,n/a,8.06914
4_5-3,bo3/e3,0.0,4.03358,n/a,n/a,n/a
4_6-0,1s3/bo3,0.15908,n/a,n/a,n/a,n/a
4_6-1,1s3,0.0,n/a,n/a,n/a,n/a
4_7-0,14b/4e,0.0,n/a,n/a,n/a,n/a
4_8-0,1s5/14b,n/a,5.5089,n/a,n/a,n/a
4_8-1,14b/4e,0.0,n/a,n/a,n/a,n/a
5_12-0,1e/1h2,0.25652,4.4554,5.95186,5.9523,6.25716
5_12-1,5e,0.0,10.54223,n/a,n/a,11.41196
5_12-2,1ho/1e,0.0,9.50606,n/a,n/a,8.1377
6_11-0,1e,0.0,n/a,n/a,n/a,n/a
6_11-1,5ho/5e,n/a,n/a,n/a,n/a,n/a
6_11-2,1ho/eo,n/a,6.37672,n/a,n/a,n/a
6_11-3,1h2,n/a,6.3962,n/a,n/a,n/a
6_12-0,1h2/1e,0.17961,5.02547,n/a,n/a,7.27823
6_12-1,5ho,n/a,n/a,n/a,n/a,n/a
6_12-2,1c4/1h2,n/a,n/a,n/a,n/a,n/a
6_12-3,eo/1ho,n/a,n/a,n/a,n/a,n/a
6_12-4,1e/14b,n/a,n/a,n/a,n/a,2.52711
6_12-5,1h2/1s5,n/a,n/a,n/a,n/a,n/a
6_7-0,14b/1s5,0.0,n/a,n/a,n/a,n/a
6_8-0,1s5/14b,n/a,n/a,n/a,n/a,n/a
6_8-1,14b,0.23417,n/a,n/a,n/a,n/a
7_11-0,1e/1h2,0.0,n/a,11.15847,11.1591,n/a
7_12-0,1h2/1e,n/a,n/a,n/a,n/a,n/a
7_12-1,1h2,0.0,5.97253,6.71361,6.71424,8.54155
8_10-0,b25/os2,0.18856,4.56057,n/a,n/a,n/a
8_10-1,oe/3ob,n/a,n/a,n/a,n/a,8.44878
8_10-2,b25,0.13372,6.84457,n/a,n/a,n/a
8_11-0,1h2/1e,0.10276,n/a,7.45773,7.45836,n/a
8_12-0,1h2,0.13275,n/a,n/a,n/a,n/a
8_12-1,1h2/1e,0.14865,3.06708,n/a,n/a,5.71608
8_9-0,b25,0.0,n/a,n/a,n/a,n/a
